标记点（置信度）,标记点,x坐标,y坐标,,
lower_leg 0.89,lower_leg ,1603.5,2254.5,,
joint 0.91,joint ,1648.5,1255.5,,
upper_leg 0.92,upper_leg ,1691,338,,
lower_leg 0.89,lower_leg ,1603.5,2254.5,,
joint 0.91,joint ,1648.5,1255.5,,
upper_leg 0.92,upper_leg ,1691,338,,
lower_leg 0.89,lower_leg ,1603.5,2254.5,,
joint 0.91,joint ,1645.5,1256.5,,
upper_leg 0.92,upper_leg ,1688.5,338,,
lower_leg 0.90,lower_leg ,1607.5,2253,,
joint 0.91,joint ,1653,1255.5,,
upper_leg 0.92,upper_leg ,1689,337,,
lower_leg 0.90,lower_leg ,1607.5,2253,,
joint 0.91,joint ,1653,1255.5,,
upper_leg 0.92,upper_leg ,1689,337,,
lower_leg 0.89,lower_leg ,1603.5,2258,,
joint 0.91,joint ,1642,1257.5,,
upper_leg 0.92,upper_leg ,1667,336,,
lower_leg 0.89,lower_leg ,1603.5,2258,,
joint 0.91,joint ,1642,1257.5,,
upper_leg 0.92,upper_leg ,1667,336,,
lower_leg 0.90,lower_leg ,1594.5,2262.5,,
upper_leg 0.92,upper_leg ,1629.5,344.5,,
joint 0.92,joint ,1631.5,1256,,
lower_leg 0.88,lower_leg ,1598,2261,,
upper_leg 0.92,upper_leg ,1615.5,348.5,,
joint 0.92,joint ,1633,1257,,
lower_leg 0.90,lower_leg ,1609.5,2253,,
joint 0.91,joint ,1648.5,1261,,
upper_leg 0.91,upper_leg ,1620,351.5,,
joint 0.90,joint ,1692,1255,,
lower_leg 0.91,lower_leg ,1631.5,2243.5,,
upper_leg 0.92,upper_leg ,1634,351.5,,
joint 0.90,joint ,1692,1255,,
lower_leg 0.91,lower_leg ,1631.5,2243.5,,
upper_leg 0.92,upper_leg ,1634,351.5,,
upper_leg 0.89,upper_leg ,1655,364.5,,
joint 0.90,joint ,1717,1248.5,,
lower_leg 0.91,lower_leg ,1634.5,2233,,
lower_leg 0.89,lower_leg ,1639,2229.5,,
upper_leg 0.90,upper_leg ,1640.5,381,,
joint 0.90,joint ,1722,1250.5,,
lower_leg 0.86,lower_leg ,1664,2217.5,,
upper_leg 0.89,upper_leg ,1650.5,385.5,,
joint 0.91,joint ,1756.5,1250,,
lower_leg 0.86,lower_leg ,1696.5,2195.5,,
upper_leg 0.90,upper_leg ,1683,389,,
joint 0.90,joint ,1814,1232,,
lower_leg 0.86,lower_leg ,1696.5,2195.5,,
upper_leg 0.90,upper_leg ,1683,389,,
joint 0.90,joint ,1814,1232.5,,
upper_leg 0.90,upper_leg ,1770.5,371,,
lower_leg 0.91,lower_leg ,1734.5,2137.5,,
joint 0.91,joint ,1933,1200,,
lower_leg 0.89,lower_leg ,1737.5,2112.5,,
joint 0.90,joint ,1978,1179.5,,
upper_leg 0.91,upper_leg ,1803,361.5,,
lower_leg 0.89,lower_leg ,1737.5,2112.5,,
joint 0.90,joint ,1978,1179.5,,
upper_leg 0.91,upper_leg ,1803,361.5,,
lower_leg 0.88,lower_leg ,1742,2037.5,,
upper_leg 0.91,upper_leg ,1878.5,358.5,,
joint 0.91,joint ,2115.5,1162.5,,
joint 0.90,joint ,2198.5,1150,,
lower_leg 0.90,lower_leg ,1732.5,1987.5,,
upper_leg 0.92,upper_leg ,1930,354,,
lower_leg 0.90,lower_leg ,1720.5,1929.5,,
joint 0.91,joint ,2253,1143.5,,
upper_leg 0.91,upper_leg ,1976.5,350.5,,
joint 0.88,joint ,2292,1140,,
lower_leg 0.90,lower_leg ,1693.5,1884.5,,
upper_leg 0.92,upper_leg ,2012.5,350.5,,
joint 0.88,joint ,2292,1140,,
lower_leg 0.90,lower_leg ,1693.5,1884.5,,
upper_leg 0.92,upper_leg ,2012.5,350.5,,
lower_leg 0.90,lower_leg ,1622,1811,,
joint 0.91,joint ,2315.5,1146,,
upper_leg 0.91,upper_leg ,2036,350.5,,
joint 0.90,joint ,2309,1154,,
lower_leg 0.90,lower_leg ,1588,1787.5,,
upper_leg 0.91,upper_leg ,2039,354,,
lower_leg 0.89,lower_leg ,1567,1765.5,,
joint 0.90,joint ,2308,1157,,
upper_leg 0.92,upper_leg ,2037.5,359.5,,
lower_leg 0.89,lower_leg ,1567,1765.5,,
joint 0.90,joint ,2308,1157,,
upper_leg 0.92,upper_leg ,2037.5,360.5,,
lower_leg 0.88,lower_leg ,1556,1697,,
upper_leg 0.90,upper_leg ,2058,349.5,,
joint 0.90,joint ,2331,1141.5,,
lower_leg 0.87,lower_leg ,1560,1664,,
joint 0.90,joint ,2350,1132,,
upper_leg 0.92,upper_leg ,2069,347,,
lower_leg 0.87,lower_leg ,1560,1664,,
joint 0.90,joint ,2350,1132,,
upper_leg 0.92,upper_leg ,2069,347,,
lower_leg 0.89,lower_leg ,1544,1610,,
joint 0.91,joint ,2364,1126.5,,
upper_leg 0.92,upper_leg ,2082.5,342.5,,
lower_leg 0.91,lower_leg ,1534,1580,,
upper_leg 0.91,upper_leg ,2089,341,,
joint 0.92,joint ,2373.5,1121,,
lower_leg 0.91,lower_leg ,1534,1580,,
upper_leg 0.91,upper_leg ,2089,341,,
joint 0.92,joint ,2373.5,1121,,
lower_leg 0.90,lower_leg ,1517,1535.5,,
upper_leg 0.91,upper_leg ,2100,333,,
joint 0.91,joint ,2381.5,1111,,
lower_leg 0.90,lower_leg ,1517.5,1535.5,,
upper_leg 0.91,upper_leg ,2100,333,,
joint 0.91,joint ,2381.5,1111,,
lower_leg 0.84,lower_leg ,1503,1503,,
upper_leg 0.91,upper_leg ,2089,327.5,,
joint 0.92,joint ,2376.5,1101.5,,
lower_leg 0.89,lower_leg ,1498.5,1474,,
upper_leg 0.91,upper_leg ,2085.5,318,,
joint 0.91,joint ,2381,1097.5,,
lower_leg 0.89,lower_leg ,1498.5,1474,,
upper_leg 0.91,upper_leg ,2085.5,318,,
joint 0.91,joint ,2381,1097.5,,
upper_leg 0.87,upper_leg ,2097,298,,
lower_leg 0.88,lower_leg ,1464,1365.5,,
joint 0.89,joint ,2373.5,1086,,
lower_leg 0.89,lower_leg ,1453,1378,,
joint 0.89,joint ,2362.5,1088.5,,
upper_leg 0.90,upper_leg ,2086,296.5,,
lower_leg 0.89,lower_leg ,1462.5,1423.5,,
joint 0.90,joint ,2358,1098.5,,
upper_leg 0.92,upper_leg ,2071.5,308,,
lower_leg 0.90,lower_leg ,1490.5,1459.5,,
joint 0.91,joint ,2371.5,1096,,
upper_leg 0.92,upper_leg ,2076.5,318,,
lower_leg 0.90,lower_leg ,1490.5,1459.5,,
joint 0.91,joint ,2371.5,1096,,
upper_leg 0.92,upper_leg ,2076.5,318,,
joint 0.86,joint ,2404.5,1097,,
upper_leg 0.90,upper_leg ,2098.5,322.5,,
lower_leg 0.91,lower_leg ,1577,1581.5,,
joint 0.88,joint ,2411,1103,,
lower_leg 0.91,lower_leg ,1623.5,1653.5,,
upper_leg 0.91,upper_leg ,2103.5,328.5,,
joint 0.88,joint ,2400,1107,,
lower_leg 0.90,lower_leg ,1667,1733,,
upper_leg 0.91,upper_leg ,2097,335.5,,
joint 0.88,joint ,2400,1107,,
lower_leg 0.90,lower_leg ,1667,1733,,
upper_leg 0.91,upper_leg ,2097,335.5,,
lower_leg 0.90,lower_leg ,1770.5,1872,,
joint 0.90,joint ,2387.5,1127.5,,
upper_leg 0.91,upper_leg ,2068.5,346.5,,
upper_leg 0.90,upper_leg ,2062.5,350.5,,
joint 0.90,joint ,2365.5,1137.5,,
lower_leg 0.91,lower_leg ,1828,1933,,
upper_leg 0.90,upper_leg ,2062.5,350.5,,
joint 0.90,joint ,2365.5,1137.5,,
lower_leg 0.91,lower_leg ,1828,1933,,
lower_leg 0.89,lower_leg ,1898.5,2039,,
joint 0.91,joint ,2320.5,1165.5,,
upper_leg 0.91,upper_leg ,2028,372,,
upper_leg 0.89,upper_leg ,1997,380.5,,
lower_leg 0.90,lower_leg ,1936,2093.5,,
joint 0.90,joint ,2276.5,1183,,
lower_leg 0.88,lower_leg ,1961,2128,,
upper_leg 0.90,upper_leg ,1961,396,,
joint 0.91,joint ,2228.5,1195,,
lower_leg 0.90,lower_leg ,1978,2150,,
joint 0.91,joint ,2189,1205.5,,
upper_leg 0.91,upper_leg ,1928,403.5,,
lower_leg 0.90,lower_leg ,1978,2150,,
joint 0.91,joint ,2189,1205.5,,
upper_leg 0.91,upper_leg ,1928,403.5,,
lower_leg 0.91,lower_leg ,1976.5,2178,,
upper_leg 0.92,upper_leg ,1875,412.5,,
joint 0.93,joint ,2137.5,1219.5,,
lower_leg 0.89,lower_leg ,1958,2184.5,,
joint 0.90,joint ,2112.5,1225,,
upper_leg 0.91,upper_leg ,1862.5,415,,
